obs,y,x0,e1,e2,s,j,x1
1,570,144,0,0,1,1,10
2,402,36,1,0,1,0,6
3,214.5,381,0,0,0,0,8
4,219,190,0,0,0,0,6
5,450,138,0,0,1,0,8
6,321,67,0,0,1,0,5
7,360,114,0,0,1,0,7
8,219,0,0,0,0,0,3
9,279,115,0,0,0,0,5
10,240,244,0,0,0,0,7
11,303,143,1,0,0,0,7
12,283.5,26,0,0,1,0,4
13,277.5,34,0,0,1,0,5
14,351,137,0,0,0,0,7
15,273,66,0,0,1,0,5
16,408,24,0,0,1,0,5
17,460,48,0,0,1,0,5
18,1037.5,70,1,0,1,1,9
19,423,103,0,0,1,0,5
20,262.5,48,0,0,0,0,4
21,388.5,17,1,0,0,0,5
22,217.5,315,0,0,1,0,8
23,240,75,0,0,0,0,4
24,169.5,124,0,0,0,0,4
25,211.5,171,0,0,0,0,5
26,310.5,14,0,0,1,0,4
27,603.75,96,0,1,1,1,9
28,325.5,43,0,0,1,0,5
29,1350,199,0,1,1,1,26
30,312,54,0,0,1,0,5
31,361.5,83,0,0,1,0,5
32,1106.25,120,0,1,1,1,15
33,420,68,0,0,1,0,5
34,920,175,0,1,1,1,14
35,812.5,18,0,1,1,1,9
36,313.5,52,0,0,0,0,4
37,291,113,0,0,1,0,5
38,313.5,49,0,0,1,0,5
39,360,46,1,0,1,0,5
40,192,23,0,0,0,0,3
41,235.5,52,0,0,0,0,4
42,351,90,0,0,1,0,6
43,232.5,46,0,0,1,0,5
44,292.5,50,0,0,1,0,5
45,307.5,307,0,0,1,0,8
46,223.5,165,0,0,0,0,6
47,300,228,0,0,0,0,8
48,307.5,240,0,0,1,0,7
49,348,93,0,0,1,0,6
50,600,59,1,0,1,1,8
51,355.5,48,0,0,1,0,5
52,451.5,40,0,0,1,0,5
53,737.5,56,0,1,1,1,8
54,250.5,444,0,0,1,0,9
55,270,120,0,0,1,0,6
56,268.5,5,0,0,1,0,4
57,339,78,0,0,1,0,6
58,264,3,0,0,0,0,4
59,280.5,36,0,0,1,0,5
60,309,102,0,0,1,0,6
61,225,36,0,0,1,0,3
62,480,22,1,0,1,1,7
63,550,32,0,1,1,1,8
64,531.25,48,1,0,1,1,7
65,219,41,0,0,1,0,5
66,781.25,7,0,1,1,1,9
67,460,35,1,0,1,1,7
68,452.5,36,1,0,1,1,7
69,565.5,34,1,0,1,1,8
70,411,27,0,0,1,0,6
71,825,207,0,1,1,1,13
72,540,11,1,0,0,0,5
73,264,0,0,0,0,0,3
74,339,192,0,0,0,0,8
75,241.5,0,0,0,0,0,3
76,292.5,11,0,0,0,0,4
77,276,6,0,0,0,0,3
78,229.5,10,0,0,0,0,3
79,348,8,1,0,0,0,4
80,510,22,1,0,0,0,6
81,243,5,0,0,0,0,3
82,247.5,193,0,0,0,0,7
83,229.5,0,0,0,0,0,3
84,250.5,8,0,0,0,0,3
85,259.5,42,0,0,1,0,6
86,316.5,64,0,0,1,0,5
87,241.5,130,0,0,1,0,6
88,725,10,0,1,1,1,9
89,687.5,8,0,1,1,1,8
90,162,0,0,0,0,0,3
91,201,24,0,0,0,0,4
92,240,6,0,0,0,0,3
93,259.5,0,0,0,0,0,3
94,246,44,0,0,0,0,3
95,285,6,0,0,0,0,3
96,307.5,432,0,0,1,0,10
97,402,168,0,1,1,0,8
98,300,144,0,0,1,0,6
99,220.5,5,0,0,0,0,3
100,782.5,47,0,1,1,1,9
101,606.25,44,1,0,1,1,7
102,399,59,0,0,1,0,5
103,970,68,0,1,1,1,11
104,274.5,48,0,0,1,0,5
105,316.5,18,0,0,1,0,4
106,912.5,23,0,1,1,1,9
107,252,83,0,0,0,0,5
108,210,108,0,0,0,0,5
109,304.5,49,0,0,1,0,5
110,283.5,151,0,0,1,0,7
111,307.5,314,0,0,1,0,7
112,307.5,240,0,0,1,0,7
113,548.75,68,1,0,1,1,9
114,378,60,0,0,1,0,6
115,334.5,85,0,0,1,0,5
116,303,16,0,0,1,0,5
117,315,205,0,0,0,0,8
118,316.5,48,0,0,0,0,5
119,252,55,0,0,0,0,5
120,378,7,1,0,0,1,5
121,187.5,54,0,0,0,0,4
122,325.5,22,0,0,0,0,4
123,333,3,0,0,0,0,4
124,385.5,0,1,0,0,0,5
125,274.5,173,0,0,1,0,7
126,243,191,0,0,1,0,7
127,307.5,209,0,0,1,0,7
128,196.5,229,0,0,0,0,6
129,687.5,38,0,1,1,1,8
130,593.75,6,0,1,1,1,9
131,315,22,0,0,1,0,5
132,273,175,0,0,1,0,7
133,270,87,0,0,1,0,6
134,415.5,285,1,0,0,1,11
135,262.5,0,0,0,0,0,3
136,222,324,0,0,1,0,8
137,650,264,0,1,1,1,14
138,309,252,0,0,1,0,8
139,201,90,0,0,0,0,5
140,223.5,26,0,0,0,0,4
141,355.5,32,0,0,0,0,4
142,285,34,0,0,0,0,4
143,244.5,107,0,0,0,0,5
144,166.5,412,0,0,0,0,8
145,267,38,0,0,1,0,4
146,439.5,182,0,1,1,0,9
147,237,359,0,0,1,0,8
148,265.5,61,0,0,0,0,5
149,276,75,0,0,1,0,5
150,258,143,0,0,1,0,6
151,423,126,1,0,1,1,9
152,307.5,451,0,0,1,0,10
153,267,18,0,0,0,0,4
154,208.5,163,0,0,0,0,6
155,352.5,54,0,0,1,0,5
156,267,56,0,0,1,0,5
157,265.5,11,0,0,0,0,4
158,277.5,11,0,0,0,0,4
159,250.5,123,1,0,0,0,5
160,660,150,1,0,1,1,16
161,526.5,20,1,0,1,0,6
162,456.25,60,1,0,1,1,8
163,309,25,0,0,1,0,5
164,294,24,0,0,0,0,5
165,333,24,0,0,0,0,4
166,219,156,0,0,0,0,5
167,181.5,72,0,0,0,0,4
168,468.75,19,1,0,0,1,5
169,255,37,0,0,1,0,5
170,265.5,38,0,0,1,0,5
171,267,367,0,0,1,0,9
172,298.5,79,0,0,0,0,5
173,692.5,134,0,1,1,1,14
174,319.5,438,0,0,1,0,10
175,262.5,171,0,0,1,0,7
176,357,19,1,0,0,0,5
177,285,69,0,0,0,0,6
178,171,72,0,0,0,0,4
179,252,29,0,0,1,0,4
180,240,59,0,0,0,0,4
181,274.5,101,0,0,0,0,4
182,184.5,228,0,0,0,0,6
183,393,72,0,0,1,0,5
184,388.5,53,0,0,1,0,5
185,307.5,380,0,0,1,0,9
186,375,33,0,0,1,0,6
187,587.5,13,1,0,1,1,7
188,345,208,0,0,0,0,8
189,360,240,0,0,0,0,9
190,291,35,0,0,0,0,5
191,165,288,0,0,0,0,7
192,196.5,180,0,0,1,0,6
193,247.5,41,0,0,0,0,4
194,271.5,231,0,0,0,0,7
195,264,36,0,0,0,0,4
196,231,214,1,0,0,0,6
197,549,49,0,0,1,1,8
198,708.75,156,0,1,1,1,15
199,512.5,69,1,0,1,1,9
200,675,9,0,1,1,1,10
201,293.4,150,0,0,1,0,8
202,396,47,0,0,1,0,5
203,291,50,0,0,1,0,5
204,331.5,69,0,0,1,0,6
205,667.5,258,1,0,1,1,19
206,337.5,284,0,0,1,0,8
207,273,91,0,0,1,0,6
208,240,16,0,0,0,0,3
209,198,75,0,0,0,0,4
210,306,216,0,0,1,0,8
211,289.5,108,0,0,1,0,6
212,384,64,0,0,1,0,6
213,307.5,302,0,0,1,0,8
214,204,9,0,0,0,0,3
215,192,7,0,0,0,0,3
216,301.5,72,0,0,1,0,5
217,346.2,149,1,0,1,0,10
218,800,34,0,0,1,0,5
219,253.5,32,0,0,1,0,5
220,298.5,85,0,0,1,0,6
221,240,97,0,0,0,0,5
222,277.5,265,0,0,0,0,9
223,223.5,48,0,0,0,0,4
224,162,0,0,0,0,0,3
225,219,0,0,0,0,0,4
226,232.5,4,1,0,0,0,5
227,339,11,0,0,0,0,4
228,256.5,51,0,0,0,0,5
229,172.5,358,0,0,0,0,7
230,225,371,0,0,1,0,9
231,402,3,1,0,1,1,6
232,555,62,0,1,1,1,11
233,265.5,52,0,0,1,0,5
234,505.5,44,0,0,1,0,6
235,750,13,0,1,1,1,9
236,274.5,9,0,0,0,0,4
237,226.5,0,0,0,0,0,3
238,273,5,0,0,0,0,3
239,277.5,5,0,0,0,0,3
240,543.75,81,1,0,0,1,6
241,174,390,0,0,0,0,8
242,408,4,0,0,0,0,5
243,231,0,0,0,0,0,3
244,225,5,0,0,0,0,3
245,267,18,0,0,0,0,4
246,249,0,0,0,0,0,3
247,196.5,11,0,0,0,0,3
248,220.5,9,0,0,0,0,3
249,255,11,0,0,0,0,4
250,282,19,0,0,0,0,4
251,231,13,0,0,0,0,3
252,255,9,0,0,1,0,3
253,171,0,0,0,0,0,3
254,681.25,29,0,1,1,1,10
255,306,460,0,0,1,0,10
256,521.25,221,0,1,1,1,11
257,618.75,199,0,1,1,1,13
258,213,24,0,0,1,0,4
259,196.5,5,0,0,0,0,3
260,223.5,5,0,0,0,0,3
261,234,18,0,0,0,0,4
262,243,8,0,0,0,0,3
263,285,4,0,0,0,0,3
264,199.5,8,0,0,0,0,3
265,234,0,0,0,0,0,3
266,345,3,1,0,0,0,5
267,181.5,0,0,0,0,0,3
268,223.5,272,0,0,1,0,8
269,402,38,0,0,1,0,6
270,286.5,261,0,0,1,0,9
271,277.5,55,0,0,1,0,6
272,668.75,30,0,1,1,0,10
273,300,308,0,0,1,0,8
274,837.5,12,1,0,1,1,6
275,339,94,0,0,1,0,6
276,565,12,1,0,1,1,6
277,430,20,1,0,0,1,5
278,208.5,70,0,0,0,0,4
279,244.5,8,0,0,0,0,4
280,247.5,5,0,0,0,0,3
281,345,246,0,0,1,0,8
282,279,47,0,0,1,0,5
283,681.25,35,0,1,1,1,10
284,735,45,0,1,1,1,10
285,307.5,429,0,0,1,0,10
286,400.5,133,0,0,1,1,9
287,403.5,20,1,0,1,0,6
288,387,176,0,0,1,1,9
289,650,26,0,1,1,1,9
290,514.5,149,0,1,1,1,12
291,352.5,387,0,0,1,0,9
292,259.5,53,0,0,1,0,5
293,250.5,24,0,0,1,0,4
294,267,25,0,0,1,0,4
295,240,476,0,0,1,0,11
296,268.5,48,0,0,1,0,5
297,234,209,0,0,0,0,7
298,246,47,0,0,0,0,5
299,325.5,6,0,0,0,0,5
300,265.5,105,1,0,1,0,6
301,315,7,0,0,1,0,4
302,223.5,320,0,0,1,0,8
303,352.5,281,0,0,1,0,8
304,258,51,0,0,0,0,5
305,307.5,317,0,0,1,0,9
306,307.5,41,0,0,1,0,5
307,500,264,1,0,1,1,13
308,345,63,0,0,1,0,6
309,262.5,38,0,0,1,0,5
310,448.75,22,1,0,1,0,6
311,225,63,0,0,0,0,4
312,256.5,64,0,0,0,0,5
313,213,0,0,0,0,0,3
314,298.5,38,0,0,0,0,4
315,345,4,0,0,0,0,4
316,277.5,52,0,0,1,0,5
317,277.5,12,0,0,1,0,4
318,487.5,61,1,0,1,1,7
319,434.1,12,0,0,1,0,5
320,220.5,385,0,0,1,0,9
321,220.5,6,0,0,0,0,4
322,225,90,0,0,0,0,5
323,255,7,0,0,0,0,4
324,291.6,22,0,0,0,0,5
325,168,76,0,0,0,0,4
326,295.5,144,0,0,1,0,6
327,267,18,0,0,1,0,5
328,550,125,0,1,1,1,11
329,625,74,0,1,1,1,11
330,273,132,0,0,1,0,7
331,244.5,144,0,0,0,0,5
332,330,26,1,0,0,0,6
333,370.5,5,0,0,0,0,5
334,244.5,32,0,0,0,0,4
335,319.5,408,0,0,1,0,10
336,472.5,45,1,0,1,1,7
337,261,2,0,0,0,0,3
338,159,43,0,0,0,0,4
339,237,281,0,0,0,0,7
340,217.5,318,0,0,0,0,8
341,594,272,0,0,1,1,13
342,244.5,117,0,0,0,0,6
343,1035,150,1,0,1,1,19
344,357,72,0,0,1,0,6
345,222,7,0,0,0,0,5
346,229.5,22,0,0,0,0,4
347,231,228,0,0,0,0,6
348,567.5,15,1,0,0,1,9
349,291,375,0,1,0,0,8
350,376.5,132,0,0,0,0,6
351,279,32,0,0,0,0,4
352,211.5,159,0,0,0,0,5
353,312,155,0,0,1,0,7
354,205.5,154,0,0,0,0,5
355,259.5,83,0,0,1,0,6
356,283.5,48,0,0,1,0,5
357,177,184,0,0,0,0,5
358,235.5,49,0,0,0,0,5
359,199.5,56,0,0,0,0,4
360,294,30,0,0,0,0,5
361,288,18,0,0,0,0,4
362,169.5,319,0,0,0,0,7
363,357,138,1,0,1,0,7
364,174,116,0,0,0,0,4
365,214.5,194,0,0,0,0,5
366,247.5,68,0,0,0,0,4
367,169.5,271,0,0,0,0,6
368,261,169,0,0,0,0,6
369,280.5,15,0,0,1,0,5
370,366,12,1,0,0,0,5
371,581.25,11,1,0,0,1,5
372,213,372,0,0,1,0,9
373,225,216,0,0,1,0,8
374,294,15,0,0,1,0,5
375,274.5,41,0,0,1,0,5
376,298.5,48,0,0,1,0,5
377,253.5,56,0,0,1,0,5
378,157.5,275,0,0,0,0,6
379,196.5,102,0,0,0,0,5
380,210,82,0,0,0,0,5
381,270,192,0,1,1,0,8
382,240,120,0,0,1,0,6
383,785,67,0,1,1,1,9
384,208.5,127,0,0,0,0,5
385,300,348,0,0,1,0,9
386,285,174,0,0,1,0,7
387,650,74,0,1,1,1,10
388,301.5,110,0,0,1,0,6
389,668.75,81,0,1,1,1,10
390,241.5,7,0,0,0,0,4
391,244.5,12,0,0,0,0,4
392,216,0,0,0,0,0,4
393,279,0,0,0,0,0,4
394,291,17,0,0,0,0,4
395,226.5,2,0,0,0,0,3
396,208.5,0,0,0,0,0,3
397,229.5,5,0,0,0,0,4
398,306,5,0,0,0,0,4
399,204,0,0,0,0,0,3
400,238.5,20,0,0,0,0,4
401,228,0,0,0,0,0,3
402,207,2,0,0,0,0,3
403,213,3,0,0,0,0,3
404,243,121,0,0,0,0,6
405,196.5,133,0,0,0,0,6
406,600,17,0,1,1,1,10
407,303,55,0,0,1,0,5
408,612.5,9,0,1,1,1,10
409,360,21,0,1,1,0,6
410,252,344,0,0,0,0,10
411,162,180,0,0,0,0,5
412,228,2,0,0,0,0,3
413,435,11,1,0,0,1,6
414,303,155,0,0,1,0,7
415,319.5,70,0,0,1,0,5
416,352.5,6,0,0,1,0,4
417,378,36,0,0,1,0,5
418,312,46,0,0,1,0,5
419,294,68,0,0,1,0,6
420,700,75,0,1,1,1,11
421,339,96,0,0,1,0,6
422,271.5,78,0,0,1,0,6
423,222,196,0,0,0,0,6
424,313.5,47,0,0,0,0,4
425,208.5,181,0,0,0,0,6
426,333,120,1,0,1,0,7
427,262.5,97,0,0,1,0,6
428,319.5,58,0,0,1,0,5
429,300,305,0,0,1,0,8
430,662.5,99,0,1,1,1,11
431,862.5,50,0,1,1,1,14
432,307.5,56,0,0,1,0,5
433,335.4,47,0,0,1,0,5
434,349.5,55,1,0,1,0,7
435,403.5,80,0,0,1,0,6
436,302.7,80,0,0,1,0,6
437,262.5,264,0,0,1,0,8
438,324,64,0,0,1,0,5
439,204,0,0,0,0,0,3
440,241.5,96,0,0,0,0,5
441,238.5,122,0,0,0,0,5
442,297,26,0,0,0,0,4
443,216,228,0,0,0,0,7
444,244.5,87,0,0,0,0,6
445,280.5,84,0,0,1,0,6
446,1000,128,1,0,1,1,14
447,490,86,0,0,1,0,7
448,163.5,163,0,0,0,0,5
449,700,19,1,0,1,1,7
450,550,129,0,1,1,1,12
451,285,20,0,0,1,0,4
452,288,210,0,0,1,0,8
453,244.5,338,0,0,1,0,9
454,906.25,18,0,1,1,1,9
455,436.5,19,1,0,1,1,6
456,750,54,0,1,1,1,13
457,316.5,10,0,0,1,0,4
458,618.75,26,0,1,1,1,9
459,217.5,0,0,0,0,0,3
460,225,24,0,0,0,0,4
461,216,173,0,0,0,0,6
462,344.1,79,1,0,0,1,7
463,207,241,0,0,0,0,7
464,475.5,27,0,1,1,1,10
465,339,106,0,0,1,0,6
466,234,198,0,0,0,0,6
467,328.5,20,1,0,0,0,6
468,557.5,36,1,0,0,1,6
469,252,57,0,0,0,0,5
470,262.5,69,0,0,1,0,5
471,264,32,0,0,1,0,5
472,391.5,46,0,0,1,0,5
473,214.5,139,0,0,0,0,5
474,294,9,0,0,0,0,4
